unique_id,Date,forecast_lower,forecast,forecast_upper
1-2,2012-01-27,41269.65625,46377.94921875,50141.96015625
1-2,2012-02-03,43185.26484375,46041.876953125,49604.244531250006
1-2,2012-02-10,43991.837890625,46714.021484375,50746.88671875
1-2,2012-02-17,41975.4046875,46041.87890625,50444.4234375
1-2,2012-02-24,42681.15625,46714.01953125,50545.244921875004
1-2,2012-03-02,43991.837890625,45705.806640625,51183.782421875
1-2,2012-03-09,42950.016015625,45033.662109375,47722.23828125
1-2,2012-03-16,43655.7640625,45873.841796875,48663.24414062501
1-2,2012-03-23,43588.549609375,46714.01953125,49805.886328125
1-2,2012-03-30,43319.69375,44697.58984375,47957.489062500004
1-2,2012-04-06,42983.623046875,44697.58984375,49772.279296875
1-2,2012-04-13,44025.4453125,45369.734375,49100.134765625
1-2,2012-04-20,43689.37109375,46041.87890625,49100.134765625
1-2,2012-04-27,43554.942578125,46209.912109375,50746.88671875
1-2,2012-05-04,44361.51953125,46545.984375,50814.101171875
1-2,2012-05-11,43622.15703125,47050.09375,49906.707812500004
1-2,2012-05-18,44025.4453125,45873.841796875,48394.38671875
1-4,2012-01-27,33232.783203125,36612.388671875,38677.706640625
1-4,2012-02-03,33769.228515625,37014.72265625,40796.662109375
1-4,2012-02-10,33983.806640625,37148.833984375,38784.995703125
1-4,2012-02-17,33474.18359375,35271.275390625,37604.8125
1-4,2012-02-24,32991.3828125,35539.498046875,36934.256250000006
1-4,2012-03-02,33501.005859375,35137.1640625,37309.767578125
1-4,2012-03-09,32937.73828125,35003.052734375,37175.656640625006
1-4,2012-03-16,33179.138671875,34332.49609375,36800.14453125
1-4,2012-03-23,33474.18359375,35405.38671875,37282.9453125
1-4,2012-03-30,35056.697265625,36210.0546875,38087.61328125
1-4,2012-04-06,34037.451171875,35539.498046875,39884.705078125
1-4,2012-04-13,33769.228515625,35941.83203125,37873.03515625
1-4,2012-04-20,34868.94140625,37417.056640625,43398.421875
1-4,2012-04-27,34815.296875,36075.943359375,41091.70703125001
1-4,2012-05-04,34520.251953125,37014.72265625,39884.705078125
1-4,2012-05-11,35646.787109375,37685.279296875,40555.26171875
1-4,2012-05-18,36424.6328125,39026.39453125,44551.77890625
1-8,2012-01-27,34397.18828125,35596.49609375,38403.390625
1-8,2012-02-03,33912.36171875,35851.66796875,40597.86875
1-8,2012-02-10,34371.67109375,36744.771484375,39322.009375
1-8,2012-02-17,33886.844921875,36234.42578125,38122.701953125004
1-8,2012-02-24,33121.32890625,35468.91015625,36770.290625
1-8,2012-03-02,33121.32890625,35341.32421875,38122.7015625
1-8,2012-03-09,33402.021484375,34193.05078125,36999.9453125
1-8,2012-03-16,32126.15859375,34575.80859375,37050.9796875
1-8,2012-03-23,33402.021484375,34193.05078125,36285.460546875
1-8,2012-03-30,32891.67421875,34448.22265625,37050.9796875
1-8,2012-04-06,32891.67421875,34320.63671875,36030.28828125
1-8,2012-04-13,32610.98515625,34575.80859375,36770.290625
1-8,2012-04-20,32304.77890625,34703.39453125,36004.77109375
1-8,2012-04-27,32100.64140625,34830.98046875,36540.632421875
1-8,2012-05-04,33121.32890625,33937.87890625,37025.4625
1-8,2012-05-11,33402.021484375,34703.39453125,37255.1171875
1-8,2012-05-18,32891.67421875,35341.32421875,37280.634375
1-10,2012-01-27,24307.00390625,26896.1806640625,30757.62265625
1-10,2012-02-03,25289.10625,28570.216796875,32453.98125
1-10,2012-02-10,23882.916015625,29239.8310546875,32610.2248046875
1-10,2012-02-17,24619.491015625,29797.8427734375,33235.196875
1-10,2012-02-24,25914.0787109375,30132.650390625,33949.453125
1-10,2012-03-02,24954.2984375,28681.818359375,32967.352734375
1-10,2012-03-09,26739.937109375,31471.876953125,32967.352734375
1-10,2012-03-16,26717.6166015625,30132.650390625,33123.594531250004
1-10,2012-03-23,26762.2576171875,31137.0712890625,33748.566796875
1-10,2012-03-30,25177.503515625,30355.8544921875,32811.109375
1-10,2012-04-06,26985.4609375,31137.0703125,34886.910546875
1-10,2012-04-13,24865.0166015625,30132.650390625,31851.32578125
1-10,2012-04-20,26494.41171875,29016.6259765625,32900.391015625
1-10,2012-04-27,26472.0912109375,30467.45703125,33346.801171875
1-10,2012-05-04,26248.8861328125,29909.4453125,32520.942578125003
1-10,2012-05-11,25623.913671875,30355.85546875,33726.246484375
1-10,2012-05-18,27409.5525390625,31360.275390625,33503.04296875
1-13,2012-01-27,35174.625,37407.93359375,38552.50234375
1-13,2012-02-03,35397.95625,37966.26171875,39389.99453125
1-13,2012-02-10,35174.625,37687.09765625,40590.4
1-13,2012-02-17,36514.60859375,38105.84375,41707.055859375
1-13,2012-02-24,34895.4609375,36710.0234375,39501.66015625
1-13,2012-03-02,35146.70859375,37407.93359375,39082.9140625
1-13,2012-03-09,34895.4609375,36291.27734375,38943.33203125
1-13,2012-03-16,35677.116796875,37687.09765625,41037.0625
1-13,2012-03-23,34867.54453125,36570.44140625,39389.99453125
1-13,2012-03-30,34532.54765625,37407.93359375,39417.910937500004
1-13,2012-04-06,34811.71171875,36570.44140625,40590.4
1-13,2012-04-13,35146.70859375,36989.1875,38552.50234375
1-13,2012-04-20,33778.8046875,36151.6953125,39669.15859375
1-13,2012-04-27,35705.033203125,36570.44140625,41009.145703125
1-13,2012-05-04,35705.033203125,37407.93359375,40339.15234375
1-13,2012-05-11,34337.1328125,37687.09765625,39641.2421875
1-13,2012-05-18,35425.87265625,36570.44140625,39306.2453125
1-38,2012-01-27,61240.4765625,69267.14453125,78364.02890625001
1-38,2012-02-03,69564.4296875,79672.078125,89244.6203125
1-38,2012-02-10,69267.1453125,76996.5234375,92871.4765625
1-38,2012-02-17,65937.559375,75807.38671875,85796.128125
1-38,2012-02-24,64153.859765625,71348.12890625,85617.7578125
1-38,2012-03-02,67007.7859375,79077.51171875,86331.24140625
1-38,2012-03-09,66591.5859375,72239.98046875,85201.55078125
1-38,2012-03-16,70040.07890625,78185.66015625,88709.50703125
1-38,2012-03-23,67721.26953125,73726.40234375,80980.12421875
1-38,2012-03-30,67423.985546875,77293.8046875,87460.91796875
1-38,2012-04-06,65402.453125,73726.40234375,84606.98828125
1-38,2012-04-13,69504.97265625,76104.66796875,88114.94453125
1-38,2012-04-20,64213.31640625,74023.68359375,81931.4359375
1-38,2012-04-27,65283.539453125,79969.36328125,90433.75390625
1-38,2012-05-04,65937.559375,73726.3984375,87401.45781250001
1-38,2012-05-11,72121.06796875,79374.79296875,86331.24140625
1-38,2012-05-18,67602.35546875,79672.078125,87044.71796875
1-40,2012-01-27,58345.873046875,62437.333984375,68659.759375
1-40,2012-02-03,60008.026953125,63076.62109375,64866.633203125
1-40,2012-02-10,59198.259765625,64355.201171875,67509.03203125
1-40,2012-02-17,62138.999609375,64781.39453125,68190.9375
1-40,2012-02-24,60519.45703125,63929.0078125,67935.22031250001
1-40,2012-03-02,59581.83203125,63929.0078125,67381.1734375
1-40,2012-03-09,59624.451171875,62437.333984375,65079.729296875004
1-40,2012-03-16,58644.21015625,60519.45703125,68489.2734375
1-40,2012-03-23,59198.259765625,60732.5546875,63630.67421875
1-40,2012-03-30,57493.486328125,59453.974609375,63673.293359375006
1-40,2012-04-06,57365.628515625,60093.265625,63076.62109375
1-40,2012-04-13,55746.096875,59453.974609375,61883.281640625
1-40,2012-04-20,56683.72265625,58814.6875,61030.891406250004
1-40,2012-04-27,54510.134375,57962.298828125,63119.240625
1-40,2012-05-04,54126.55859375,55618.23828125,59667.0703125
1-40,2012-05-11,53231.55625,55405.140625,60093.265625
1-40,2012-05-18,53615.128515625,55831.3359375,57621.344140625
1-72,2012-01-27,37205.583984375,40555.84765625,45387.283593750006
1-72,2012-02-03,34102.178515625,40908.509765625,47644.30468750001
1-72,2012-02-10,36288.667578125,41084.837890625,45845.73828125
1-72,2012-02-17,34102.178515625,40203.1875,45175.68710937501
1-72,2012-02-24,33079.4642578125,40555.84765625,44364.572656250006
1-72,2012-03-02,33008.932421875,36676.59375,43412.391015625
1-72,2012-03-09,32762.0701171875,37029.25390625,40273.723046875
1-72,2012-03-16,30293.4546875,36852.923828125,39991.59140625
1-72,2012-03-23,31316.1689453125,35265.95703125,39286.274609375
1-72,2012-03-30,34137.44453125,36852.923828125,40308.989062500004
1-72,2012-04-06,31175.1052734375,37029.25390625,45175.687890625
1-72,2012-04-13,32268.3478515625,35265.955078125,42178.080468750006
1-72,2012-04-20,31598.2955078125,36500.263671875,41649.09375
1-72,2012-04-27,29976.060546875,36500.263671875,42319.14453125
1-72,2012-05-04,31668.8275390625,35971.2734375,41296.433984375
1-72,2012-05-11,32691.5388671875,35794.943359375,39215.742578125
1-72,2012-05-18,31668.8275390625,35442.28515625,40273.723046875
