unique_id,Date,forecast_lower,forecast,forecast_upper
1-10,2012-01-27,21580.981750832532,24961.44470349378,29844.325396424025
1-10,2012-02-03,25036.13388830952,28534.344124089617,33587.660771309755
1-10,2012-02-10,22474.749334960947,28239.37767645189,32258.47166370708
1-10,2012-02-17,23541.02846538027,29753.430420553064,33723.7970443821
1-10,2012-02-24,23812.643484992524,28622.544896497322,32640.905040823756
1-10,2012-03-02,23994.149754515533,28775.443111563232,33066.68371811649
1-10,2012-03-09,25898.50235291081,30854.874784996664,32652.495301718543
1-10,2012-03-16,25020.772635550584,29487.89771390752,32991.81747743444
1-10,2012-03-23,23758.757438406286,28730.00896254619,34233.957552295076
1-10,2012-03-30,23754.385330683224,29041.319187410372,32412.49219905934
1-10,2012-04-06,26318.239591197333,30680.41402691761,35092.621578550636
1-10,2012-04-13,23909.053932737435,29488.064862511314,31206.740253136315
1-10,2012-04-20,27658.142193655807,30283.103759129757,34379.993270280385
1-10,2012-04-27,23308.977603724612,28360.811030799287,31425.257847487253
1-10,2012-05-04,24106.935789960462,28805.722359206826,33552.80024737629
1-10,2012-05-11,24824.925513666974,29641.135861848306,33102.11491309372
1-10,2012-05-18,25973.698376917953,31013.890458212896,33721.625879568965
1-13,2012-01-27,29590.928046435125,35095.35244142197,37900.381974582415
1-13,2012-02-03,33950.10671054579,39563.15228823137,41356.301876543184
1-13,2012-02-10,35954.50488790153,38930.921815757036,42342.67611153206
1-13,2012-02-17,36851.91218411094,38751.69442974277,43006.58134824541
1-13,2012-02-24,33654.865913770824,36022.55876085754,39149.00526128832
1-13,2012-03-02,34406.73919312855,36937.42814246397,38964.32441543186
1-13,2012-03-09,34319.946214289565,36145.389859009454,39224.70512843176
1-13,2012-03-16,34862.291268406174,37845.57883425251,41841.45880949569
1-13,2012-03-23,30870.809692214592,36679.9967425312,41215.10016630542
1-13,2012-03-30,31340.706314796305,34893.771999644814,38032.448647662386
1-13,2012-04-06,36612.59636871332,38413.586583832475,42623.27140501932
1-13,2012-04-13,35391.879319768035,38232.10775861592,41332.685444509094
1-13,2012-04-20,36011.19300454603,41142.225590478396,44659.6888717284
1-13,2012-04-27,28997.790403708717,30274.154056549018,38454.849770871544
1-13,2012-05-04,35394.70005755587,37183.74801865304,40967.39298537403
1-13,2012-05-11,35355.32784489208,38956.29171677167,41421.520341658776
1-13,2012-05-18,35518.97755750463,37861.18271291693,42121.0564261817
1-2,2012-01-27,39284.23648576688,47071.93629415461,51052.75328828947
1-2,2012-02-03,47540.187955253685,50633.56912366626,54492.02900158295
1-2,2012-02-10,46977.32468001538,50618.385290753795,56262.87997457659
1-2,2012-02-17,46909.95507978332,51448.457236780574,56358.99445568814
1-2,2012-02-24,41953.92791497963,48365.587880244304,53050.9794307171
1-2,2012-03-02,44012.822588785864,47642.800063786155,55489.07162375354
1-2,2012-03-09,43581.85326573696,45665.49935948696,48758.420746584736
1-2,2012-03-16,41801.61727255704,46617.68301099825,50523.240913974936
1-2,2012-03-23,43456.36093398195,54246.003594852795,67513.30177931782
1-2,2012-03-30,41568.5806242789,43340.59263289221,46933.16799895443
1-2,2012-04-06,47028.64961444911,50365.4805579157,56206.29817444325
1-2,2012-04-13,51151.2436302466,52668.15716453883,56726.553045676774
1-2,2012-04-20,59272.60303917205,62927.74434993705,66612.71134290755
1-2,2012-04-27,38780.853380024244,46827.14679470609,53120.446594990644
1-2,2012-05-04,42709.400641285494,45178.62897915867,55157.788171986664
1-2,2012-05-11,42472.12694997136,47279.173809330976,50719.529236868206
1-2,2012-05-18,46322.636541521424,48606.89923117755,53300.48781467019
1-38,2012-01-27,41416.644917957514,50465.38208274533,67141.64565460452
1-38,2012-02-03,72694.22346334599,89122.31843499068,105342.99390588055
1-38,2012-02-10,74187.10313369175,83601.67728870716,99721.35384438478
1-38,2012-02-17,73485.70713234057,85786.84880334389,99643.59680630981
1-38,2012-02-24,51311.64166637398,61131.71863574642,76150.41429225654
1-38,2012-03-02,68571.36463164579,80641.09041289579,93426.59824313644
1-38,2012-03-09,66801.70204755501,77668.28440330857,91927.43840495366
1-38,2012-03-16,68442.73626256689,86791.53615085018,97315.38302585018
1-38,2012-03-23,58954.59264671464,73424.93367569106,90006.6629685264
1-38,2012-03-30,55277.27411517779,67546.50115947322,78587.62656664256
1-38,2012-04-06,66522.99549692048,76810.76033846228,88189.00931351529
1-38,2012-04-13,70706.8194012289,80964.86201963555,98163.28548102126
1-38,2012-04-20,82733.35444648987,94285.10150394886,104054.83644483153
1-38,2012-04-27,35468.15001173098,55660.497789538196,75459.90787833478
1-38,2012-05-04,66155.67204972009,75183.52732589368,99118.9695963636
1-38,2012-05-11,77387.96396227347,86338.37912146193,97136.67205045914
1-38,2012-05-18,78537.94618244462,92562.04040689846,101325.41670603113
1-4,2012-01-27,29477.32532562521,36049.74715394311,40095.41615516473
1-4,2012-02-03,33499.56841659225,40457.076144270075,44272.34941482817
1-4,2012-02-10,33422.1184762101,38713.016844229554,40785.58675184168
1-4,2012-02-17,33382.363541614686,35179.455338489686,38301.302177037505
