unique_id,Date,forecast_lower,forecast,forecast_upper
1-10,2012-06-01,29060.991384311426,33515.66889077435,37366.50513670233
1-10,2012-06-08,26207.137850716794,29362.70854775973,33992.555231797014
1-10,2012-06-15,24424.155493844533,29804.264315563516,36671.85351161665
1-10,2012-06-22,25815.42905535531,28702.569386118812,34359.446248344364
1-10,2012-06-29,27951.998250093577,31497.842400686037,36395.674641317855
1-10,2012-07-06,29780.22825268654,33264.94319623773,36866.67847501332
1-10,2012-07-13,29112.03445836064,31883.467871121757,38828.32709970306
1-10,2012-07-20,28096.357790794176,29515.969676591387,30670.321611204214
1-10,2012-07-27,28928.7919556153,33218.99582558087,37083.880212646
1-10,2012-08-03,28392.693206129316,32236.287476009304,38475.307244248834
1-13,2012-06-01,35995.985897144754,41477.04418463815,45375.92886915912
1-13,2012-06-08,40148.28096241053,41507.9059653095,43104.21927568794
1-13,2012-06-15,36410.63545097603,38844.52399399143,43199.72509402111
1-13,2012-06-22,34906.402288881596,37700.15931364364,42422.663804998825
1-13,2012-06-29,31169.570672356702,37437.34030741902,40461.84494719074
1-13,2012-07-06,41176.7712867053,44052.466572400524,47038.6097930642
1-13,2012-07-13,35699.83457424421,38826.73586440003,44358.320839649394
1-13,2012-07-20,31746.44305786226,37513.82840250098,42381.16179327601
1-13,2012-07-27,32288.893171395906,36554.0955824338,41891.751627165955
1-13,2012-08-03,39061.29314579683,42733.09393185461,49153.6480589249
1-2,2012-06-01,44661.382353503766,50882.22914633216,53535.63063008884
1-2,2012-06-08,44161.94496634756,47568.05167750039,52184.60235565504
1-2,2012-06-15,40371.564783454196,45578.38249340706,49664.253617556984
1-2,2012-06-22,41969.2905971948,44258.851837213195,48571.460232771846
1-2,2012-06-29,41272.77725468673,48359.220979430786,52002.17892258762
1-2,2012-07-06,45969.827090376166,53323.79575423038,55951.85494178513
1-2,2012-07-13,44244.36777870759,48877.20630416736,55195.13121461455
1-2,2012-07-20,40000.04298173651,42227.53310661714,48164.579815247394
1-2,2012-07-27,44140.46975684812,46205.09975385649,52421.98555102423
1-2,2012-08-03,47558.56376008018,50125.88329133018,56730.91165276487
1-38,2012-06-01,69762.56681798604,84062.58106670211,94301.50364341383
1-38,2012-06-08,64012.08249175718,73556.18385251092,83723.98078643905
1-38,2012-06-15,64158.60522992161,74741.83004535407,102089.59538165123
1-38,2012-06-22,48913.69634861868,63672.35269662507,71605.86729182336
1-38,2012-06-29,44335.20530671199,62805.7424674666,82942.39491670478
1-38,2012-07-06,58957.02836854954,83295.09454634365,94878.27348193138
1-38,2012-07-13,68721.69426588905,89980.1497419403,101582.71789450725
1-38,2012-07-20,50642.54592050383,59032.96019614046,83164.28187003433
1-38,2012-07-27,40761.747268134844,53286.05673639057,69827.29991864946
1-38,2012-08-03,65664.31320736598,86552.7041957678,101585.91988387908
1-4,2012-06-01,37759.2804962922,43454.70604404572,45687.11312035014
1-4,2012-06-08,36763.89751627999,38282.937896724055,39838.90486459941
1-4,2012-06-15,32995.56817387829,34832.127399165474,38324.94389470192
1-4,2012-06-22,34807.511525933514,36682.89410691502,39388.520687570046
1-4,2012-06-29,34622.56895832987,39180.55887414941,40883.9369352292
1-4,2012-07-06,40202.6037509303,44310.74558592266,48427.464633601994
1-4,2012-07-13,34844.41781784149,39252.51536312265,41919.37850711811
1-4,2012-07-20,31850.425791753787,33866.8604444853,37637.876269603505
1-4,2012-07-27,33391.01715531912,38758.39399551282,41825.84097147334
1-4,2012-08-03,39360.08657263917,42139.07422807095,46025.157711769134
1-40,2012-06-01,56383.966233363266,61083.91023416225,63278.52316929326
1-40,2012-06-08,57408.10357964393,61096.95070051235,64013.51408736216
1-40,2012-06-15,51819.32312642514,56722.09589205482,62808.17427579041
1-40,2012-06-22,48249.8992737595,51316.3757996581,55685.71290142583
1-40,2012-06-29,50146.025823023374,56596.79181665244,64365.6371989578
1-40,2012-07-06,55655.77614292739,62982.85046637691,67754.93101915502
1-40,2012-07-13,54231.01027447924,58140.29538055879,62803.60416097316
1-40,2012-07-20,46950.849616259016,51222.476678034545,60552.16442709268
1-40,2012-07-27,49233.76682827676,53827.26518792207,58081.890497199376
1-40,2012-08-03,55633.547497187305,62531.653546122856,66298.19451147853
1-72,2012-06-01,26253.493990965144,54163.1686234273,57683.77633468658
1-72,2012-06-08,19905.92059217458,30303.173998099857,43899.32560815903
1-72,2012-06-15,46336.750444362275,54547.387077824365,68290.37685309348
1-72,2012-06-22,57372.704675626155,63963.2379556595,74573.94756291696
1-72,2012-06-29,30388.05515701709,49442.37442814412,66297.0422529731
1-72,2012-07-06,46068.644148659034,52995.44929099493,59785.9346581134
1-72,2012-07-13,31895.996313068415,53016.699052446624,94942.53346179586
1-72,2012-07-20,31186.623130716656,51503.02835592666,59025.65550485325
1-72,2012-07-27,43352.84076075834,54484.62141256634,90470.0878088279
1-72,2012-08-03,-1619.922844664572,39960.27120592649,54357.16017285954
1-79,2012-06-01,33037.07870579445,39071.683808391484,41897.10354971007
1-79,2012-06-08,36933.99713233769,39503.846431563274,43767.136374708716
1-79,2012-06-15,29668.773217256585,31454.843334444085,38160.823305427555
1-79,2012-06-22,22884.356376875396,26528.446309885745,30838.286986260653
1-79,2012-06-29,23881.02327611638,32801.355412672434,35389.608068601854
1-79,2012-07-06,38365.47483638773,40957.99657117402,48385.26239492943
1-79,2012-07-13,31575.7635634787,35809.6645737617,38766.08005541348
1-79,2012-07-20,20210.5306082897,22260.992789050437,33732.69888592458
1-79,2012-07-27,18329.920281146406,22162.819915796783,30105.711297746006
1-79,2012-08-03,42076.070296128404,46593.2832291241,51650.562943066194
1-8,2012-06-01,36274.612410261674,40318.80023072851,42272.24136718393
1-8,2012-06-08,38230.29741937555,40491.45093927259,45116.180044473826
1-8,2012-06-15,35385.289738335756,38335.83189795853,41522.35131119105
1-8,2012-06-22,35056.91487403603,36571.406502966856,38390.32590995412
1-8,2012-06-29,34537.636427426696,37442.647667779325,39196.5377054521
1-8,2012-07-06,41483.31147826268,43621.67059853284,46892.422569154456
1-8,2012-07-13,36190.68119400703,39185.17109409256,42700.031495499
1-8,2012-07-20,32009.409778926598,35368.472453673785,40041.80853306298
1-8,2012-07-27,33648.44185266251,36159.39028287376,39623.18806386319
1-8,2012-08-03,37674.30438704598,40020.95895948728,43314.350013469164
1-81,2012-06-01,28175.961136698304,31196.04714235337,33258.507838080914
1-81,2012-06-08,29316.137837972758,32081.61772846806,34271.208302838655
1-81,2012-06-15,32187.59168498776,33342.16092394573,37221.41969732715
1-81,2012-06-22,29060.484716676805,30999.576355785586,32260.625191308034
1-81,2012-06-29,26996.328647721188,29929.395559259494,32481.36234342417
1-81,2012-07-06,32171.90521322864,34378.39920301455,36225.00406103028
1-81,2012-07-13,31382.603466240507,34292.02708559917,37979.41688773729
