unique_id,Date,forecast_lower,forecast,forecast_upper
1-10,2012-01-27,23139.513141497755,26193.467853801125,29053.818371515463
1-10,2012-02-03,21790.238358021885,25461.85012163135,31378.934556745062
1-10,2012-02-10,24547.20304857465,28361.79825783201,33570.3231433839
1-10,2012-02-17,25896.45164733011,28182.755380798175,32055.211663308368
1-10,2012-02-24,22866.592401636386,29872.1489714228,33220.2192839228
1-10,2012-03-02,26142.855282199092,29173.287902858647,35610.468477592294
1-10,2012-03-09,25079.961122489232,28865.22707825944,32631.138060786037
1-10,2012-03-16,27628.30983382656,31401.261769234992,33640.816939278666
1-10,2012-03-23,25657.362776657683,29238.39834224091,35109.05911128299
1-10,2012-03-30,25347.30098373981,29668.718022743582,33372.92097094126
1-13,2012-01-27,31506.94867220943,32782.200972499384,36737.488322301164
1-13,2012-02-03,31555.912710172823,37184.85369533923,39815.066947835316
1-13,2012-02-10,34931.329027308355,37406.86752840028,39214.445678525546
1-13,2012-02-17,34159.934366059635,36465.987508365884,41168.21602391783
1-13,2012-02-24,31498.41593286438,38776.53784576282,41319.05465097673
1-13,2012-03-02,38495.26949220994,41083.071545647326,44403.35916977753
1-13,2012-03-09,33626.13289855136,35787.39169347512,40252.64733061583
1-13,2012-03-16,33098.977528284915,39078.55332195091,41679.883839282404
1-13,2012-03-23,33345.13604113001,38049.92182541436,40499.06775768982
1-13,2012-03-30,29732.59121190902,34986.693728297236,39611.63452176579
1-2,2012-01-27,38870.678317895254,42763.682763901,45495.90037451825
1-2,2012-02-03,47979.65552847488,54638.26792523841,60886.216866439245
1-2,2012-02-10,45732.401003841966,51384.42013303279,54274.63888303279
1-2,2012-02-17,44838.632588488596,49632.667496179296,55170.22861360035
1-2,2012-02-24,43670.63361006099,50780.468340389605,56630.63041832854
1-2,2012-03-02,57972.922475956075,62827.56229074852,69714.85128320791
1-2,2012-03-09,46390.928244079405,52535.70611966779,56617.099699438666
1-2,2012-03-16,46136.608522688715,54062.0917297682,57503.55426922266
1-2,2012-03-23,45844.46774427825,48573.247129201154,54177.13918397932
1-2,2012-03-30,40321.8125835947,45361.15310567662,58914.97212649903
1-38,2012-01-27,48412.178104226834,54928.46204163029,62730.38280216054
1-38,2012-02-03,45822.830117889425,73346.88714468844,91995.64189388588
1-38,2012-02-10,61051.0760396355,72835.2084035512,87225.52880421573
1-38,2012-02-17,70103.04927328155,79853.57731375129,92707.54587457822
1-38,2012-02-24,57639.417476760435,75748.203571566,86626.35466326104
1-38,2012-03-02,67203.31767436562,82840.59108727313,97912.77674302865
1-38,2012-03-09,52952.53418435341,74769.05356718248,88030.559553438
1-38,2012-03-16,70027.3794878007,81559.7149065414,97888.18639990923
1-38,2012-03-23,49624.23269244617,67482.70745536126,77632.33786613027
1-38,2012-03-30,51487.72042630833,61179.97422955939,73093.9927028066
1-4,2012-01-27,31955.083035543856,33712.72927099967,38897.83994832485
1-4,2012-02-03,32408.598193829537,37202.47149508462,41383.32469342092
1-4,2012-02-10,36041.42385146407,38952.59885459305,41408.97281664893
1-4,2012-02-17,32582.137151179933,37260.08546265387,39087.01563827017
1-4,2012-02-24,30563.178106395942,38048.1059574935,39656.7450668583
1-4,2012-03-02,37478.98316895778,39130.5971715253,43933.40443248074
1-4,2012-03-09,30910.59816898374,34774.5583755805,37762.9564124734
1-4,2012-03-16,32140.611242954386,38562.624189425595,42828.163890315765
1-4,2012-03-23,33990.779108237904,37679.55418019819,38965.419878576955
1-4,2012-03-30,31364.629372537063,34573.1731116639,39676.33576378345
1-40,2012-01-27,51090.60387031972,54437.853990862845,58403.97124447664
1-40,2012-02-03,52937.0955917254,57152.58038298753,63611.8634562684
1-40,2012-02-10,57165.051045460634,62986.29443886536,68794.41906873116
1-40,2012-02-17,56201.14003714545,61948.51704611246,65812.49609678047
1-40,2012-02-24,53996.12931456695,60574.41980902765,66459.86830248592
1-40,2012-03-02,59155.2781967076,63521.49961100915,68300.74774901109
1-40,2012-03-09,55094.80794906127,58537.97220343238,63125.69140785856
1-40,2012-03-16,59069.20063250106,63894.48232555367,66123.64692438707
1-40,2012-03-23,53174.00446144668,58850.42417446763,62383.92477170837
1-40,2012-03-30,53050.82283225108,58707.05862894011,59645.95773321466
1-72,2012-01-27,45288.25022178246,65855.63749811819,75280.64436374501
1-72,2012-02-03,87713.20120095808,115715.16692038873,143567.7417108066
1-72,2012-02-10,44587.21336841685,51021.122901889605,72362.61861441343
1-72,2012-02-17,37474.36978129597,50379.70449699405,59727.95445209939
1-72,2012-02-24,48899.92325393415,59136.23841347638,100255.84442109328
1-72,2012-03-02,115823.05887516243,157964.57671411088,179451.1613392672
1-72,2012-03-09,28149.74199202993,46221.37372833341,61005.3244810999
1-72,2012-03-16,25792.505603440186,38093.417989986236,58756.51648485187
1-72,2012-03-23,54996.10214977096,61387.22802173653,76740.26583979515
1-72,2012-03-30,52116.60777002711,62586.03979151376,94589.94972825478
1-79,2012-01-27,19157.63025629695,20783.37703461071,27263.729028813585
1-79,2012-02-03,26596.278950440097,40425.52400305731,44264.84488156121
1-79,2012-02-10,30813.023339597494,38363.77698304294,41273.54603298376
1-79,2012-02-17,31059.3989235291,33733.42225402909,38171.314919433586
1-79,2012-02-24,27964.028170167032,35568.8286386285,39038.03742830074
1-79,2012-03-02,38386.10709275707,43062.53965948095,50154.87884770761
1-79,2012-03-09,26754.835323290128,31521.353316197732,39578.53014722121
1-79,2012-03-16,25724.26444105958,40347.78099149348,46497.220639113686
1-79,2012-03-23,25741.962536114763,33686.63201952135,36886.54432527518
1-79,2012-03-30,20237.216758730407,28433.56108434482,38258.78430649896
1-8,2012-01-27,30906.31545399699,32205.601698117505,34137.58279055242
1-8,2012-02-03,33665.52587520668,38877.54523835973,41065.23547521347
1-8,2012-02-10,33616.53544147244,35933.94092622326,37387.47767067386
1-8,2012-02-17,32800.344745814575,34621.1655246935,39108.23004070378
1-8,2012-02-24,32418.886944496317,35739.8407836164,38353.42030843045
1-8,2012-03-02,35582.99105239432,36792.26524083913,40259.67144861724
1-8,2012-03-09,32622.53741794378,34536.910914194996,36096.62579611839
1-8,2012-03-16,31740.742442897503,35702.63242042903,37745.560293928385
1-8,2012-03-23,29781.909242414837,33824.40339991177,36044.34100035292
1-8,2012-03-30,29175.60706960066,33470.40397827381,36453.94578410644
1-81,2012-01-27,25541.708468652905,26937.62464157347,28913.806658607766
1-81,2012-02-03,25569.975915767696,28276.843471077806,30401.11947922835
1-81,2012-02-10,28970.555561566332,31071.330855530625,32772.18853631017
