Date,forecast,forecast_lower,forecast_upper,unique_id
2012-01-27,43472.821310452855,43161.178324362096,45512.2876010701,1-2
2012-02-03,47751.782645998144,42656.47208630975,48250.34844174776,1-2
2012-02-10,46197.43726144045,45049.82013765879,48064.559809439794,1-2
2012-02-17,47263.97524771101,42930.588159016865,47468.42101880927,1-2
2012-02-24,48114.84539737039,46158.860595298975,50505.180483492,1-2
2012-03-02,48622.54513717954,46968.20803991723,50123.094492365584,1-2
2012-03-09,49247.07241958336,47583.90346093263,50047.514724181005,1-2
2012-03-16,50201.732952591745,45036.77337879245,50294.898400457794,1-2
2012-03-23,42485.16749254641,41872.17842517472,46005.13307726782,1-2
2012-03-30,45975.482448448995,44367.92767942674,48696.174401015836,1-2
2012-04-06,50072.22514717978,49218.86842876844,54048.62256972879,1-2
2012-04-13,48423.902926298404,47121.26289931455,49519.38312611156,1-2
2012-04-20,49904.30459501537,48376.73063180508,51917.314625276376,1-2
2012-04-27,46831.28925012359,42670.03292887391,46858.18212164584,1-2
2012-05-04,50700.17412388536,49544.570915855,51732.00898380388,1-2
2012-05-11,45899.99507238789,45810.86230810336,46495.30327194205,1-2
2012-05-18,46721.85527742285,44689.85879436777,48374.2513289521,1-2
2012-01-27,36906.224315653766,36562.437414311185,37544.95161549447,1-4
2012-02-03,37240.544184859136,36582.337182510615,38267.13118841272,1-4
2012-02-10,36072.8949958032,35945.955941512555,37411.17391472965,1-4
2012-02-17,37203.32146964983,35678.77131611858,37645.28758549372,1-4
2012-02-24,38874.77628724175,37296.71417074597,38874.77628724175,1-4
2012-03-02,36371.1356701517,34945.89988439338,36427.776914575414,1-4
2012-03-09,36871.29787811481,36799.30601342899,37216.61023745827,1-4
2012-03-16,34727.39260621369,34249.34794139977,35693.04704278892,1-4
2012-03-23,35390.202820682534,33623.788684061525,35390.202820682534,1-4
2012-03-30,34650.73018821535,32992.90537991682,35369.50585707446,1-4
2012-04-06,38333.31088572779,37103.42152970234,38874.28989898531,1-4
2012-04-13,36570.04315281792,36176.319833653,37532.04146600732,1-4
2012-04-20,38646.790562998176,37364.26007628521,38707.76587246391,1-4
2012-04-27,37146.21101961652,34354.80524692979,38081.113828578,1-4
2012-05-04,37069.532389938344,35792.88112957003,38054.75324733506,1-4
2012-05-11,35225.88769500134,35225.88769500134,36622.45209826867,1-4
2012-05-18,37483.24023969312,35652.71091144642,37483.24023969312,1-4
2012-01-27,34816.883076649196,33586.19322616594,34878.681700702895,1-8
2012-02-03,37232.101361014924,36820.72451397034,37657.15386741651,1-8
2012-02-10,35083.84412215935,34386.76560495124,35665.30826959455,1-8
2012-02-17,35029.282037363526,33460.724267834994,35228.02383518678,1-8
2012-02-24,35014.75708664611,34577.54443373019,35360.40286170466,1-8
2012-03-02,36300.08956498106,34816.690134707096,36690.17691973032,1-8
2012-03-09,35677.89348787586,35517.19988509292,35991.91599973169,1-8
2012-03-16,34486.12984379125,33377.59272629079,35035.475671604516,1-8
2012-03-23,32005.35013522406,31995.69010654981,32758.632876059884,1-8
2012-03-30,33320.113348154104,32912.441848647024,34062.63382952548,1-8
2012-04-06,35289.99435889642,35289.99435889642,35662.49894005737,1-8
2012-04-13,33263.64264993398,32969.39059404655,34411.09919083682,1-8
2012-04-20,33751.596580957215,32933.979842211374,34713.31383331664,1-8
2012-04-27,32739.318824367103,32320.883992318355,33003.67161605516,1-8
2012-05-04,36945.04532005717,36945.04532005717,38138.361245232314,1-8
2012-05-11,35157.49139225609,34174.69746653142,35332.35751419434,1-8
2012-05-18,34755.268583541765,34278.6575130164,35145.5910913577,1-8
2012-01-27,27022.1690138051,26378.5506751544,28117.745696560556,1-10
2012-02-03,29547.85490951127,29208.210335496082,30723.023394849708,1-10
2012-02-10,29664.09277931464,29655.471598653585,31001.58881639843,1-10
2012-02-17,29296.60520945978,26729.678734291643,29788.864577553126,1-10
2012-02-24,31981.52950668864,29754.73008811321,32259.177111577595,1-10
2012-03-02,30142.359910349543,29681.54736329441,31493.37438600472,1-10
2012-03-09,33239.39218170183,31874.19175344362,33569.020974947256,1-10
2012-03-16,33751.89639102442,31287.485155361348,34312.16685248358,1-10
2012-03-23,37809.21657442484,37622.80713739459,39035.850385913574,1-10
