unique_id,Date,forecast_lower,forecast,forecast_upper
1-10,2012-08-10,29257.93096361167,34473.638748061014,38318.271699858335
1-10,2012-08-17,27154.337593222397,30669.677294925154,33450.40208290417
1-10,2012-08-24,29035.764384509443,33039.86797500604,35275.297215375984
1-10,2012-08-31,30791.510843853008,34784.849639937165,37867.6112435108
1-10,2012-09-07,30507.767880911983,33690.91123405473,36795.5159501319
1-10,2012-09-14,28446.372149089497,31584.06712399688,35433.13651167564
1-10,2012-09-21,26952.46938942774,29558.004185831818,33532.79744808435
1-10,2012-09-28,27330.810146321648,31975.71010625314,35861.81580975219
1-10,2012-10-05,31879.862997834724,34789.536704786085,38513.017807912416
1-10,2012-10-12,28313.309879593282,29954.120835200876,33527.237058782775
1-13,2012-08-10,37907.00290281774,41018.50753199008,42857.48118193221
1-13,2012-08-17,39364.279584526696,41175.12317032815,43476.64887202686
1-13,2012-08-24,36861.784420460644,39459.40443212775,41573.22502868364
1-13,2012-08-31,40792.138498406726,44578.64848736365,49053.63151271343
1-13,2012-09-07,37959.82736905346,41843.4212188488,44911.24076259154
1-13,2012-09-14,36301.328879382105,38702.278166161166,42103.85795389461
1-13,2012-09-21,35229.00145116073,38377.866380278196,42489.618230411485
1-13,2012-09-28,34282.800980774526,37838.56550186677,40109.146655336335
1-13,2012-10-05,42663.080453859824,46489.97178836626,49006.57432971522
1-13,2012-10-12,35998.34710069089,38433.49767649249,40481.25473811539
1-2,2012-08-10,45804.612651113064,49044.03436981192,54174.19972430121
1-2,2012-08-17,46494.750541845235,48846.7218868757,53171.876214175885
1-2,2012-08-24,43927.32642785599,48509.12375426176,51981.436202773206
1-2,2012-08-31,47320.28040911141,51627.077909707594,55705.751813316354
1-2,2012-09-07,41870.320359872036,46386.62193735925,50698.7138212695
1-2,2012-09-14,39849.90324968475,43658.41576354905,48027.94261021248
1-2,2012-09-21,39163.70420065505,43117.343607493145,45955.61967851016
1-2,2012-09-28,42268.80398479256,44913.13526534613,47944.66802898671
1-2,2012-10-05,47889.64207733995,52752.56134641463,55869.19939114683
1-2,2012-10-12,42385.78425208047,44619.66992637453,49082.77982196151
1-38,2012-08-10,57264.63595661638,68123.62419747615,85658.50937798648
1-38,2012-08-17,65045.908604828765,72657.67066229104,84688.72031020715
1-38,2012-08-24,46110.14758046331,57846.826953422,69546.64433893378
1-38,2012-08-31,64083.58151313192,76624.25448414084,89541.94196109213
1-38,2012-09-07,56349.0415006768,68330.19679107566,83028.57342245488
1-38,2012-09-14,58286.4063997522,70041.87419733475,80109.36025174664
1-38,2012-09-21,54288.4109008815,69296.31729288686,79512.75570016491
1-38,2012-09-28,44296.18104993898,55422.41354397243,67721.94948319586
1-38,2012-10-05,69533.2102065355,86971.27377481764,102847.95194500386
1-38,2012-10-12,54601.59905261242,64710.897282130456,74890.56091884636
1-4,2012-08-10,38431.076546458295,41763.41043042074,44539.01093681197
1-4,2012-08-17,37620.80855071827,40530.1601430251,43911.10766158678
1-4,2012-08-24,34664.9160304263,38406.27481060953,42259.99523873662
1-4,2012-08-31,35988.080760295954,41407.068956127645,44186.323213747884
1-4,2012-09-07,36994.163396406344,41733.487489243475,45563.54183516677
1-4,2012-09-14,34853.12723765085,37449.376111011545,41606.75498161382
1-4,2012-09-21,32051.883647456816,35214.930622909895,37020.44196251609
1-4,2012-09-28,32434.699990686,35638.59803516568,36923.24584519131
1-4,2012-10-05,39784.73012164369,43236.191390550506,45961.75537518314
1-4,2012-10-12,34671.977956124305,37675.03097685914,39809.016493489835
1-40,2012-08-10,53359.70055685851,57443.974603245195,61889.17858099229
1-40,2012-08-17,54131.61246644409,57678.78918710247,60328.2887936908
1-40,2012-08-24,51242.30597317225,54455.93482010336,57098.314394650435
1-40,2012-08-31,58002.46022153645,60517.0774853546,64613.18003755445
1-40,2012-09-07,57847.24785374249,61021.106988977466,66803.80297331899
